year,quarter,name,inventory,vacant,vacancy_rate,net_absorption,rental_rate
2012,Q1,Ballard-Interbay,629273,500,0.001,9523,14.1
2012,Q2,Ballard-Interbay,629273,500,0.001,,14.1
2012,Q3,Ballard-Interbay,629273,500,0.001,,14.1
2012,Q4,Ballard-Interbay,629273,500,0.001,,14.1
2013,Q1,Ballard-Interbay,629273,500,0.001,,
2013,Q2,Ballard-Interbay,629273,500,0.001,,9
2013,Q3,Ballard-Interbay,629273,500,0.001,,9
2013,Q4,Ballard-Interbay,629273,500,0.001,,9
2014,Q1,Ballard-Interbay,629273,500,0.001,,9.93
2014,Q2,Ballard-Interbay,629273,7769,0.012,7269,14.09
2014,Q3,Ballard-Interbay,629273,36184,0.058,28415,13.92
2014,Q4,Ballard-Interbay,629273,36184,0.058,,13.92
2015,Q1,Ballard-Interbay,629273,38101,0.061,1917,18.37
2015,Q2,Ballard-Interbay,629273,28415,0.045,9686,18.37
2015,Q3,Ballard-Interbay,629273,30832,0.049,2417,18.37
2015,Q4,Ballard-Interbay,629273,28415,0.045,2417,13
2016,Q1,Ballard-Interbay,629273,28915,0.046,500,13
2016,Q2,Ballard-Interbay,629273,39164,0.062,10249,12.87
2016,Q3,Ballard-Interbay,629273,28415,0.045,10749,11.02
2016,Q4,Ballard-Interbay,629273,32415,0.052,4000,11.46
2017,Q1,Ballard-Interbay,629273,6000,0.01,26415,12.6
2017,Q2,Ballard-Interbay,629273,7744,0.012,1744,12.94
2017,Q3,Ballard-Interbay,629273,7744,0.012,,12.18
2017,Q4,Ballard-Interbay,629273,7670,0.012,74,12.3
2018,Q1,Ballard-Interbay,629273,4500,0.007,3170,11.82
2018,Q2,Ballard-Interbay,629273,4500,0.007,,12.31
2018,Q3,Ballard-Interbay,629273,14900,0.024,10400,11.85
2018,Q4,Ballard-Interbay,629273,14900,0.024,,11.83
2019,Q1,Ballard-Interbay,629273,,0,14900,11.94
2019,Q2,Ballard-Interbay,629273,14261,0.023,14261,11.94
2019,Q3,Ballard-Interbay,629273,14261,0.023,,11.94
2019,Q4,Ballard-Interbay,629273,14261,0.023,,11.77
2020,Q1,Ballard-Interbay,629273,14261,0.023,,12.69
2020,Q2,Ballard-Interbay,629273,15461,0.025,1200,13.8
2020,Q3,Ballard-Interbay,629273,19661,0.031,4200,12.03
2020,Q4,Ballard-Interbay,629273,86973,0.138,67312,16.62
2021,Q1,Ballard-Interbay,629273,86732,0.138,241,15.58
2021,Q2,Ballard-Interbay,629273,84315,0.134,2417,15.58
2021,Q3,Ballard-Interbay,629273,106085,0.169,21770,15.91
2021,Q4,Ballard-Interbay,629273,174187,0.277,68102,15.77
2022,Q1,Ballard-Interbay,629273,172775,0.275,1412,17.52
2022,Q2,Ballard-Interbay,629273,255141,0.405,82366,17.41
2022,Q3,Ballard-Interbay,629273,336069,0.534,80928,17.4
2012,Q1,Cascade Industrial Center - Arlington/Marysville,267241,54560,0.204,,5.04
2012,Q2,Cascade Industrial Center - Arlington/Marysville,267241,54560,0.204,,5.04
2012,Q3,Cascade Industrial Center - Arlington/Marysville,267241,54560,0.204,,5.04
2012,Q4,Cascade Industrial Center - Arlington/Marysville,267241,54560,0.204,,5.04
2013,Q1,Cascade Industrial Center - Arlington/Marysville,267241,54560,0.204,,5.04
2013,Q2,Cascade Industrial Center - Arlington/Marysville,267241,54560,0.204,,5.04
2013,Q3,Cascade Industrial Center - Arlington/Marysville,267241,54560,0.204,,5.04
2013,Q4,Cascade Industrial Center - Arlington/Marysville,267241,54560,0.204,,5.16
2014,Q1,Cascade Industrial Center - Arlington/Marysville,267241,54560,0.204,,5.16
